city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps
Gdansk,Poland,8.508,8.126999999999999,2.6875000000000004,0.0,2.8345,5.861,5.7043333333333335,8.0405,6.855666666666666,4.6615,7.794500000000001,4.7615,5.0969999999999995,5.036,5.515,4.4785,5.0249999999999995,54.3475,18.6453,POL,749786.0,5.63,1136.51,12.34
Geneva,Switzerland,1.0775,1.0,4.692,3.089,5.866500000000001,6.003,8.888,8.427,7.443,5.186,8.601750000000001,6.552,6.4285000000000005,8.378499999999999,5.244000000000001,8.6205,6.5535,46.2017,6.1469,CHE,203840.0,16.03,5855.97,56.69
Gibraltar,Gibraltar,1.112,0.0,2.8419999999999996,1.5659999999999998,0.758,0.0,0.0,9.3375,3.023333333333333,0.0,5.1835,0.0,2.9130000000000003,4.296,2.235,4.4265,4.7565,36.14,-5.35,GIB,34003.0,8.61,3385.92,46.48
Glasgow,United Kingdom,6.9285000000000005,5.623,3.505,1.1820000000000002,6.1995000000000005,5.35225,8.991999999999999,7.496,8.813333333333333,5.306500000000001,7.100999999999999,5.438,5.9545,4.252999999999999,4.671000000000001,6.9430000000000005,3.740999999999999,55.8611,-4.25,GBR,626410.0,7.38,2977.24,35.55
Gothenburg,Sweden,6.725,5.046000000000001,3.1285000000000007,3.725,3.6575,5.96875,9.568999999999996,7.296,8.101666666666667,4.7775,8.58975,5.694499999999999,2.7495000000000003,6.1925,4.0045,6.3645,4.5685,57.7075,11.9675,SWE,674529.0,8.72,2782.04,30.25
Grenoble,France,7.505000000000001,4.317,2.7430000000000003,1.852,3.996,5.52575,8.088333333333333,5.8875,9.063,4.549,6.151,4.2045,2.648000000000001,3.758,3.1785,5.0504999999999995,4.646,45.1715,5.7224,FRA,156389.0,9.48,2054.8,33.95
Guadalajara,Mexico,9.527,9.49,4.3445,0.0,1.7294999999999998,4.3455,5.764999999999999,6.472000000000001,7.034333333333333,1.2095,3.34325,3.5005,4.333500000000001,4.0925,7.657,8.1575,3.4765000000000006,20.6767,-103.3475,MEX,5525000.0,6.19,764.19,28.69
Guatemala City,Guatemala,8.8125,8.175,2.641,1.673,0.8145000000000001,0.5237499999999999,4.616999999999999,6.139,4.763666666666666,0.0,3.75775,3.805,8.505,2.506,5.1645,7.157,4.1335,14.6417,-90.5133,GTM,3014000.0,5.73,436.56,46.81
Halifax,Canada,6.895000000000001,4.9430000000000005,3.624,2.2840000000000003,1.5699999999999998,5.402750000000001,8.966,7.188500000000001,7.885666666666666,5.42,7.618499999999999,5.8405000000000005,7.2745000000000015,6.123500000000001,3.942,7.853499999999999,4.023,44.6475,-63.5906,CAN,439819.0,8.89,3072.15,75.81
Hamburg,Germany,5.944500000000001,4.904,5.793999999999999,4.197,5.685000000000001,5.8265,9.072333333333331,6.4590000000000005,8.129999999999999,4.306500000000001,8.123999999999999,5.373500000000001,3.9035,5.560499999999999,6.3525,7.162999999999999,5.088,53.55,10.0,DEU,2496600.0,9.48,3164.03,37.75
Hannover,Germany,7.754000000000001,6.000000000000001,1.0,0.0,5.646,6.5497499999999995,9.072333333333331,7.352500000000002,8.133666666666667,4.834,9.13125,5.373500000000001,3.9035,5.666,3.5255,7.266,4.2665,52.3667,9.7167,DEU,548186.0,8.43,2664.16,32.27
Havana,Cuba,9.089,7.607999999999999,1.4975000000000005,0.0,1.919,0.0,1.643333333333333,8.6335,6.999666666666665,0.0,3.86225,2.5495000000000005,0.5,1.703,2.0700000000000003,8.7595,5.0225,23.1367,-82.3589,CUB,2089532.0,7.0,35.75,165.0
Helsinki,Finland,5.396000000000001,4.121,5.683,5.507,4.7505,5.77925,9.450666666666669,8.674000000000001,7.953666666666665,5.4544999999999995,9.301,3.921,4.8785,5.1034999999999995,7.054500000000001,7.501500000000001,4.797999999999999,60.1708,24.9375,FIN,1360075.0,9.72,2874.65,22.85
